"Date","Price","Open","High","Low","Vol.","Change %"
"10/22/2024","11,832.70","11,836.00","11,840.20","11,682.30","94.83M","-0.07%"
"10/21/2024","11,841.10","11,887.90","11,932.10","11,826.60","84.30M","-0.71%"
"10/18/2024","11,925.20","11,871.90","11,934.90","11,821.60","135.86M","0.17%"
"10/17/2024","11,904.50","11,999.30","12,037.90","11,904.50","95.91M","-0.77%"
"10/16/2024","11,996.70","11,906.50","12,024.10","11,897.50","106.35M","0.56%"
"10/15/2024","11,930.20","11,884.40","11,962.20","11,864.00","113.97M","0.67%"
"10/14/2024","11,850.90","11,714.40","11,850.90","11,712.10","76.11M","1.12%"
"10/11/2024","11,720.00","11,647.60","11,729.30","11,636.70","73.63M","0.54%"
"10/10/2024","11,656.70","11,731.40","11,769.60","11,589.00","93.71M","-0.72%"
"10/09/2024","11,741.50","11,729.80","11,745.50","11,670.50","70.81M","0.06%"
"10/08/2024","11,734.70","11,637.90","11,734.70","11,606.00","90.59M","0.15%"
"10/07/2024","11,717.50","11,707.60","11,781.20","11,655.40","111.40M","0.50%"
"10/04/2024","11,659.20","11,615.20","11,668.40","11,594.40","131.35M","0.35%"
"10/03/2024","11,618.00","11,591.70","11,664.30","11,563.80","112.48M","0.07%"
"10/02/2024","11,609.80","11,656.50","11,675.50","11,570.40","133.89M","-0.55%"
"10/01/2024","11,673.50","11,891.90","11,897.60","11,625.80","177.88M","-1.72%"
"09/30/2024","11,877.30","11,929.00","11,971.80","11,876.00","128.53M","-0.76%"
"09/27/2024","11,967.90","11,933.30","12,004.60","11,933.00","129.70M","0.12%"
"09/26/2024","11,953.20","11,879.00","11,975.80","11,875.50","125.01M","1.36%"
"09/25/2024","11,792.60","11,777.40","11,856.90","11,766.30","81.76M","-0.38%"
"09/24/2024","11,837.00","11,851.00","11,867.00","11,759.50","86.97M","0.33%"
"09/23/2024","11,797.90","11,761.00","11,836.30","11,721.00","97.74M","0.38%"
"09/20/2024","11,753.30","11,751.60","11,826.70","11,747.90","307.52M","-0.21%"
"09/19/2024","11,778.10","11,799.60","11,808.20","11,710.00","129.91M","0.80%"
"09/18/2024","11,684.70","11,699.20","11,720.20","11,664.30","96.28M","-0.16%"
"09/17/2024","11,703.40","11,621.90","11,753.90","11,620.70","124.05M","1.06%"
"09/16/2024","11,581.00","11,518.20","11,592.50","11,510.00","81.42M","0.35%"
"09/13/2024","11,540.20","11,429.50","11,569.10","11,418.90","109.31M","1.23%"
"09/12/2024","11,400.20","11,397.30","11,445.90","11,336.90","101.21M","1.08%"
"09/11/2024","11,278.90","11,249.10","11,334.90","11,221.70","97.78M","0.67%"
"09/10/2024","11,203.50","11,264.20","11,369.00","11,177.00","95.94M","-0.61%"
"09/09/2024","11,272.80","11,222.10","11,295.00","11,214.50","76.64M","0.89%"
"09/06/2024","11,173.00","11,238.40","11,329.90","11,157.20","108.70M","-0.89%"
"09/05/2024","11,273.50","11,166.80","11,317.30","11,152.20","96.55M","0.53%"
"09/04/2024","11,213.90","11,149.30","11,238.30","11,138.80","110.56M","-0.58%"
"09/03/2024","11,279.20","11,401.10","11,429.40","11,257.50","100.57M","-1.02%"
"09/02/2024","11,395.30","11,395.30","11,422.40","11,337.50","71.11M","-0.06%"
"08/30/2024","11,401.90","11,372.70","11,441.80","11,371.60","199.32M","0.38%"
"08/29/2024","11,358.60","11,334.40","11,398.80","11,326.40","77.35M","0.23%"
"08/28/2024","11,332.00","11,351.20","11,375.50","11,308.10","78.99M","0.05%"
"08/27/2024","11,326.90","11,272.00","11,328.10","11,266.70","96.01M","0.55%"
"08/26/2024","11,265.50","11,261.20","11,301.90","11,239.60","60.32M","-0.11%"
"08/23/2024","11,278.10","11,183.00","11,285.20","11,178.70","76.13M","1.09%"
"08/22/2024","11,156.30","11,110.40","11,207.50","11,107.40","73.24M","0.37%"
"08/21/2024","11,114.90","11,080.80","11,127.20","11,066.30","66.68M","0.24%"
"08/20/2024","11,087.80","11,130.50","11,151.90","11,056.50","68.43M","-0.13%"
"08/19/2024","11,102.50","10,968.80","11,112.40","10,966.90","76.90M","1.40%"
"08/16/2024","10,949.70","10,904.00","10,961.60","10,891.70","68.79M","0.59%"
"08/15/2024","10,885.60","10,786.20","10,889.00","10,744.60","77.13M","1.23%"
"08/14/2024","10,753.00","10,768.80","10,778.00","10,720.00","56.77M","0.27%"
"08/13/2024","10,723.80","10,680.50","10,730.70","10,645.70","67.60M","0.73%"
"08/12/2024","10,646.20","10,681.10","10,714.40","10,611.40","61.52M","0.07%"
"08/09/2024","10,638.50","10,600.50","10,687.70","10,571.40","63.17M","0.76%"
"08/08/2024","10,558.00","10,521.30","10,577.30","10,445.70","78.72M","-0.39%"
"08/07/2024","10,599.00","10,481.00","10,632.60","10,413.70","126.39M","2.01%"
"08/06/2024","10,390.50","10,449.90","10,488.60","10,308.90","133.07M","-0.32%"
"08/05/2024","10,423.40","10,407.60","10,479.50","10,298.70","206.60M","-2.34%"
"08/02/2024","10,672.90","10,763.30","10,841.10","10,641.80","187.82M","-1.67%"
"08/01/2024","10,854.30","11,050.00","11,061.20","10,822.10","134.96M","-1.90%"
"07/31/2024","11,065.00","11,222.70","11,232.90","11,026.80","156.90M","-1.23%"
"07/30/2024","11,202.60","11,131.00","11,226.20","11,123.90","98.25M","0.76%"
"07/29/2024","11,117.80","11,224.40","11,254.20","11,089.70","76.50M","-0.43%"
"07/26/2024","11,165.90","11,102.50","11,177.60","11,068.70","86.56M","0.18%"
"07/25/2024","11,145.60","11,132.70","11,158.10","11,012.00","120.03M","-0.58%"
"07/24/2024","11,210.10","11,170.80","11,245.50","11,154.40","128.81M","-0.02%"
"07/23/2024","11,212.70","11,154.30","11,221.80","11,097.50","101.47M","0.62%"
"07/22/2024","11,143.80","11,146.60","11,201.80","11,103.70","117.99M","0.51%"
"07/19/2024","11,087.50","11,104.50","11,144.60","11,051.10","126.06M","-0.54%"
"07/18/2024","11,147.50","11,142.50","11,221.10","11,124.40","99.68M","0.38%"
"07/17/2024","11,105.20","11,076.90","11,137.30","11,015.80","87.45M","0.13%"
"07/16/2024","11,090.50","11,079.80","11,104.90","11,026.50","86.48M","-0.47%"
"07/15/2024","11,143.00","11,225.00","11,225.90","11,143.00","82.09M","-0.96%"
"07/12/2024","11,250.60","11,192.80","11,264.80","11,178.60","86.44M","0.72%"
"07/11/2024","11,170.00","11,112.80","11,195.80","11,048.60","111.90M","0.89%"
"07/10/2024","11,071.60","10,927.00","11,071.60","10,902.20","109.69M","1.59%"
"07/09/2024","10,898.80","10,991.00","10,992.90","10,876.80","104.09M","-1.12%"
"07/08/2024","11,022.10","11,002.40","11,108.00","10,977.70","126.98M","-0.01%"
"07/05/2024","11,023.50","11,081.00","11,100.90","10,957.40","92.71M","-0.39%"
"07/04/2024","11,066.30","11,015.10","11,074.20","11,014.20","89.57M","0.09%"
"07/03/2024","11,056.80","10,974.60","11,061.40","10,945.20","102.60M","1.32%"
"07/02/2024","10,912.80","10,980.70","10,984.10","10,837.40","108.68M","-1.30%"
"07/01/2024","11,057.00","11,086.10","11,141.20","11,010.90","115.36M","1.04%"
